table_name,field_name,language,translation,record_id
routes,route_long_name,el,Αγία Νάπα (Υδροπάρκο) - Κάβο Γκρέκο - Κόννος - Πρωταράς - Περνέρα - Παραλίμνι,40000011
routes,route_long_name,el,Παραλίμνι - Περνέρα - Πρωταράς - Κόννος - Κάβο Γκρέκο - Αγία Νάπα (Υδροπάρκο),40010011
routes,route_long_name,el,Λούνα Παρκ-Θάλασσα-Πλ. Αγ. Νάπας-Λεωφ. Νήσι-Μαρίνα-Υδροπάρκο-Τ. Ανθία-Μ. Κάσιαλου-Θάλασσα-Πλ. Αγ. Νάπας-Λούνα Παρκ,40020011
routes,route_long_name,el,Σταθμός Αμμ.-Γ. Παπαδ/λου-Λ. Κάππαρη-Λ. Πρωταρά-Εκκλ. Αγ. Βαρβάρας-Πλατ. Παραλιμνίου-Σταδίου-1 Απριλίου-Σταθμός Αμμ.,40030011
routes,route_long_name,el,Δερύνεια (Πράσ. Γραμμή)- Φρέναρος- Λιοπέτρι- Υδροπάρκο- Αγ. Νάπα- Παραλίμνι- Γεν. Νοσοκομείο- Δερύνεια (Πρασ. Γραμμή),40040011
routes,route_long_name,el,Δερύνεια (Πράσ. Γραμμή)- Γεν. Νοσοκομείο- Παραλίμνι- Αγ. Νάπα- Υδροπάρκο- Λιοπέτρι- Φρέναρος- Δερύνεια (Πρασ. Γραμμή),40050011
routes,route_long_name,el,Ορμήδεια - Ξυλοφάγου - Λιοπέτρι - Σωτήρα - Δερύνεια - Γεν. Νοσοκομείο Αμμοχώστου - Παραλίμνι,40060011
routes,route_long_name,el,Παραλίμνι - Γεν. Νοσοκομείο Αμμοχώστου - Δερύνεια - Σωτήρα - Λιοπέτρι - Ξυλοφάγου - Ορμήδεια,40060012
routes,route_long_name,el,Ξυλοτύμπου - Δασάκι Άχνας - Αυγόρου - Φρέναρος - Δερύνεια - Γενικό Νοσοκομείο Αμμοχώστου - Παραλίμνι,40070011
routes,route_long_name,el,Παραλίμνι - Γενικό Νοσοκομείο Αμμοχώστου - Δερύνεια - Φρέναρος - Αυγόρου - Δασάκι Άχνας - Ξυλοτύμπου,40070012
routes,route_long_name,el,Α.Η.Κ. Δεκέλεια - Ορμήδεια - Ξυλοφάγου - Λιοπέτρι - Σωτήρα - Παραλίμνι - Πρωταράς - Κόννος,40080011
routes,route_long_name,el,Κόννος - Πρωταράς - Παραλίμνι - Σωτήρα - Λιοπέτρι - Ξυλοφάγου - Ορμήδεια - Α.Η.Κ. Δεκέλεια,40080012
routes,route_long_name,el,Α.Η.Κ. Δεκέλεια - Ξυλοτύμπου - Ορμήδεια - Ξυλοφάγου - Αγία Νάπα,40090011
routes,route_long_name,el,Αγία Νάπα - Ξυλοφάγου - Ορμήδεια - Ξυλοτύμπου - Α.Η.Κ. Δεκέλεια,40090012
routes,route_long_name,el,Δασάκι Άχνας - Αυγόρου - Λιοπέτρι - Αγία Νάπα,40100011
routes,route_long_name,el,Αγία Νάπα - Λιοπέτρι - Αυγόρου - Δασάκι Άχνας,40100012
routes,route_long_name,el,Ξυλοτύμπου - Δασάκι Άχνας - Αυγόρου - Φρέναρος - Δερύνεια - Παραλίμνι - Πρωταράς - Κόννος,40110011
routes,route_long_name,el,Κόννος - Πρωταράς - Κάππαρης - Παραλίμνι - Δερύνεια - Φρέναρος - Αυγόρου - Δασάκι Άχνας - Ξυλοτύμπου,40110012
routes,route_long_name,el,Στροβίλια (Πράσινη Γραμμή) - Βρυσούλλες - Φρέναρος - Δερύνεια - Νοσοκομείο Αμμοχώστου - Παραλίμνι - Πρωταράς - Κόννος,40120011
routes,route_long_name,el,Κόννος - Πρωταράς - Παραλίμνι - Νοσοκομείο Αμμοχώστου - Δερύνεια - Φρέναρος - Βρυσούλλες - Στροβίλια (Πράσινη Γραμμή),40120012
routes,route_long_name,el,Στροβίλια (Πράσινη Γραμμή) - Βρυσούλλες - Φρέναρος - Σωτήρα - Αγία Νάπα,40130011
routes,route_long_name,el,Αγία Νάπα - Σωτήρα - Φρέναρος - Βρυσούλλες - Στροβίλια (Πράσινη Γραμμή),40130012
routes,route_long_name,el,Δερύνεια - Σωτήρα - Αγία Νάπα,40140011
routes,route_long_name,el,Αγία Νάπα - Σωτήρα - Δερύνεια,40140012
routes,route_long_name,el,Παραλίμνι-Κάππαρης-Πρωταράς-Κόννος-Αγ. Νάπα-Παραλία Αγ. Θέκλας-Ξυλοφάγου-Ορμήδεια-Λάρνακα-Νέο Νοσοκομείο-Metropolis Mall,40150011
routes,route_long_name,el,Metropolis Mall-Νέο Νοσοκομείο-Λάρνακα-Ορμήδεια-Ξυλοφάγου-Παραλία Αγ. Θέκλας-Αγ. Νάπα-Κόννος-Πρωταράς-Κάππαρης-Παραλίμνι,40150012
routes,route_long_name,el,Παραλίμνι-Νοσοκ. Αμμ/στου-Δερύνεια-Φρέναρος- Βρυσούλλες-Αυγόρου-Δασάκι-Ξυλοτύμπου-Λάρνακα-Νέο Νοσοκομείο-Metropolis Mall,40160011
routes,route_long_name,el,Metropolis Mall-Νέο Νοσοκομείο-Λάρνακα-Ξυλοτύμπου-Δασάκι-Αυγόρου-Βρυσούλλες-Φρέναρος-Δερύνεια-Νοσοκομείο-Παραλίμνι,40160012
routes,route_long_name,el,Παραλίμνι-Νοσοκομείο Αμμ/στου-Δερύνεια-Σωτήρα-Λιοπέτρι-Ξυλοφάγου-Δεκέλεια-Λάρνακα-Νέο Νοσοκομείο-Metropolis Mall,40170011
routes,route_long_name,el,Metropolis Mall-Νέο Νοσοκομείο-Λάρνακα-Δεκέλεια-Ξυλοφάγου-Λιοπέτρι-Σωτήρα-Δερύνεια-Νοσοκομείο Αμμ/στου-Παραλίμνι,40170012
routes,route_long_name,el,Γεν. Νοσοκομείο - Λύκειο Παραλιμνίου - Κάππαρης - Παραλίμνι - Αγ. Νάπα - Υδροπάρκο - Παραλία Αγ. Θέκλας,40180011
routes,route_long_name,el,Παραλία Αγ. Θέκλας - Υδροπάρκο - Αγ. Νάπα - Παραλίμνι - Κάππαρης - Λύκειο Παραλιμνίου,40180012
routes,route_long_name,el,Κυκλική Γραμμή Παραλίμνι - Περνέρα - Κάππαρης,40190011
routes,route_long_name,el,Παραλίμνι - Κάππαρης - Περνέρα - Πρωταράς - Κόννος,40200011
routes,route_long_name,el,Κόννος - Πρωταράς - Περνέρα - Κάππαρης - Παραλίμνι,40200012
routes,route_long_name,el,Παραλίμνι - Περνέρα - Πρωταράς - Κόννος,40210011
routes,route_long_name,el,Κόννος - Πρωταράς - Περνέρα - Παραλίμνι,40210012
routes,route_long_name,el,Σταθμός Αγ. Νάπας-Λεωφ. Νήσι-Ξεν. Μαρίνα-Λεωφ. Κρυού Νερού-Πλατεία Αγ. Νάπας-Λιμανάκι Αγ. Νάπας-Σταθμός Αγ. Νάπας,40220011
routes,route_long_name,el,Α.Η.Κ. Δεκέλεια - Ξυλοφάγου - Αγία Νάπα,40230011
routes,route_long_name,el,Αγία Νάπα - Ξυλοφάγου - Α.Η.Κ. Δεκέλεια,40230012
routes,route_long_name,el,Ξυλοτύμπου - Ορμήδεια - Ξυλοφάγου - Αγία Νάπα,40240011
routes,route_long_name,el,Αγία Νάπα - Ξυλοφάγου - Ορμήδεια - Ξυλοτύμπου,40240012
routes,route_long_name,el,Ξυλοφάγου - Αγία Νάπα,40250011
routes,route_long_name,el,Αγία Νάπα - Ξυλοφάγου,40250012
routes,route_long_name,el,Ξυλοφάγου - Λιοπέτρι - Σωτήρα - Παραλίμνι - Γενικό Νοσοκομείο Αμμοχώστου,40260011
routes,route_long_name,el,Παραλίμνι - Σωτήρα - Λιοπέτρι - Ξυλοφάγου,40260012
routes,route_long_name,el,Παραλίμνι -  Νοσοκομείο Αμμ/στου - Δερύνεια - Φρέναρος - Βρυσούλλες - Ξυλοτύμπου - Λάρνακα - Νέο Νοσοκομείο,40270011
routes,route_long_name,el,Παραλίμνι-Νοσοκομείο Αμμ/στου-Δερύνεια-Σωτήρα-Λιοπέτρι-Ξυλοφάγου-Δεκέλεια-Λάρνακα-Νέο Νοσοκομείο-Metropolis Mall,40280011
routes,route_long_name,el,Ξυλοτύμπου - Δασάκι Άχνας - Αυγόρου - Λιοπέτρι - Φρέναρος - Δερύνεια - Γενικό Νοσοκομείο Αμμοχώστου - Παραλίμνι,40290011
routes,route_long_name,el,Παραλίμνι - Γενικό Νοσοκομείο Αμμοχώστου - Δερύνεια - Φρέναρος - Λιοπέτρι - Αυγόρου - Δασάκι Άχνας - Ξυλοτύμπου,40290012
stops,stop_name,el,Λεωφ. Κρύου Νερού - Ξενοδοχείο Marina 2,5602
stops,stop_desc,el,ΚΝ-ΞεMa,5602
stops,stop_name,el,Λεωφ. Κρύου Νερού - Ξενοδοχείο Marina 1 ,5603
stops,stop_desc,el,ΚΝ-ΞεMa,5603
stops,stop_name,el,Λεωφ. Κρύου Νερού - 2η Στάση 1,5604
stops,stop_desc,el,ΚΝ-2Σ,5604
stops,stop_name,el,Λεωφ. Κρύου Νερού - 1η Στάση,5605
stops,stop_desc,el,ΚΝ-1Σ,5605
stops,stop_name,el,Λεωφ. Κρύου Νερού - Μελισσιών,5606
stops,stop_desc,el,ΛεΚρΝε-Με,5606
stops,stop_name,el,Πινιάς - Λεωφ. Περνέρας 2,5607
stops,stop_desc,el,ΛεΠε-Πι,5607
stops,stop_name,el,Πινιάς - Λεωφ. Περνέρας 1,5608
stops,stop_desc,el,ΛεΠε-Πι,5608
stops,stop_name,el,Περνέρας - Ηφαίστου,5611
stops,stop_desc,el,Περ-Ηφα,5611
stops,stop_name,el,Περνέρας - Παραλία Ποτάμι,5612
stops,stop_desc,el,Πε-ΠαΠο,5612
stops,stop_name,el,Αφροδίτης - Αθηνάς,5613
stops,stop_desc,el,Αφρ-Αθη,5613
stops,stop_name,el,Λεωφ. Περνέρας - 3η Στάση,5614
stops,stop_desc,el,ΛεΠε-3ηΣτ,5614
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 8η Στάση,5617
stops,stop_desc,el,Πρ-ΚΓκ-8Σ,5617
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 7η Στάση,5618
stops,stop_desc,el,Πρ-ΚΓκ-7Σ,5618
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 10η Στάση,5619
stops,stop_desc,el,Πρ-ΚΓκ-1Σ,5619
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - Διονύσου,5620
stops,stop_desc,el,Πρ-ΚΓκ-Δι,5620
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - Προφήτη Ηλία,5621
stops,stop_desc,el,Πρ-ΚΓκ-ΠρΗ,5621
stops,stop_name,el,Πρωταρά - Παραλία Βρυσί,5622
stops,stop_desc,el,Πρ-ΠαΒρ,5622
stops,stop_name,el,Πρωταρά - Παραλία Sunrise,5623
stops,stop_desc,el,Πρ-ΠαSu,5623
stops,stop_name,el,Πρωταρά - Κόλπος Fig Tree,5624
stops,stop_desc,el,Πρ-ΚοFiTr,5624
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 14η Στάση,5625
stops,stop_desc,el,Πρ-ΚΓκ-1Σ,5625
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 11η Στάση,5627
stops,stop_desc,el,Πρ-ΚΓκ-1Σ,5627
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - Δάφνης,5629
stops,stop_desc,el,Πρ-ΚΓκ-Δα,5629
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - Αμοργού,5630
stops,stop_desc,el,Πρ-ΚΓκ-Αμ,5630
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - Σύμης,5631
stops,stop_desc,el,Πρ-ΚΓκ-Σ,5631
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - Βυζακιάς,5632
stops,stop_desc,el,Πρ-ΚΓκ-Βυ,5632
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 16η Στάση,5633
stops,stop_desc,el,Πρ-ΚΓκ-1Σ,5633
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 15η Στάση,5634
stops,stop_desc,el,Πρ-ΚΓκ-1Σ,5634
stops,stop_name,el,Κόννου - Ήρας 1,5635
stops,stop_desc,el,Κον-Ηρα,5635
stops,stop_name,el,Κόννου - Κίρκης 1,5636
stops,stop_desc,el,Κον-Κιρ,5636
stops,stop_name,el,Κόννου - Κίρκης 2,5637
stops,stop_desc,el,Κον-Κιρ,5637
stops,stop_name,el,Κόννου - Ξενοδοχείο Grecian Park 1,5638
stops,stop_desc,el,Κο-ΞεGrPa,5638
stops,stop_name,el,Κόννου - Ξενοδοχείο Grecian Park 2,5639
stops,stop_desc,el,Κο-ΞεGrPa,5639
stops,stop_name,el,Παραλία Κόννου 2,5640
stops,stop_desc,el,ΠαραλΚοννο,5640
stops,stop_name,el,Παραλία Κόννου 1,5647
stops,stop_desc,el,ΠαραλΚοννο,5647
stops,stop_name,el,Κάβο Γκρέκο 1,5648
stops,stop_desc,el,ΚαβοΓκρεκ,5648
stops,stop_name,el,Κάβο Γκρέκο 2,5649
stops,stop_desc,el,ΚαβοΓκρεκ,5649
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 22η Στάση,5650
stops,stop_desc,el,Πρ-ΚΓκ-2Σ,5650
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 20η Στάση,5651
stops,stop_desc,el,Πρ-ΚΓκ-2Σ,5651
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 19η Στάση,5652
stops,stop_desc,el,Πρ-ΚΓκ-1Σ,5652
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 21η Στάση,5653
stops,stop_desc,el,Πρ-ΚΓκ-2Σ,5653
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 24η Στάση,5654
stops,stop_desc,el,Πρ-ΚΓκ-2Σ,5654
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 23η Στάση,5655
stops,stop_desc,el,Πρ-ΚΓκ-2Σ,5655
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 25η Στάση,5656
stops,stop_desc,el,Πρ-ΚΓκ-2Σ,5656
stops,stop_name,el,Λεωφ. Πρωταρά - Κάβο Γκρέκο - 26η Στάση,5657
stops,stop_desc,el,Πρ-ΚΓκ-2Σ,5657
stops,stop_name,el,Κάβο Γκρέκο - 1η Στάση,5658
stops,stop_desc,el,ΟΚΓκ-1Σ,5658
stops,stop_name,el,Λεωφ. Κρύου Νερού - 6η Στάση,5662
stops,stop_desc,el,ΚΝ-6Σ,5662
stops,stop_name,el,Παραλία Άμμος του Καμπούρη 2,5663
stops,stop_desc,el,ΠαΑμτοΚα,5663
stops,stop_name,el,Λεωφ. Κρύου Νερού - 4η Στάση,5664
stops,stop_desc,el,ΚΝ-4Σ,5664
stops,stop_name,el,Διονυσίου Σολωμού - Λεωφ. Κρύου Νερού,5665
stops,stop_desc,el,ΔιΣο-ΚΝ,5665
stops,stop_name,el,Κόκκινες - Ιωαννίνων,5666
stops,stop_desc,el,Κοκ-Ιωα,5666
stops,stop_name,el,Κόκκινες - Μελίνας Μερκούρη,5668
stops,stop_desc,el,Κο-ΜεΜε,5668
stops,stop_name,el,Σπύρου Κυπριανού - Κόκκινες 1,5670
stops,stop_desc,el,ΣπΚυ-Κο,5670
stops,stop_name,el,Σπύρου Κυπριανού - Κωστή Παλαμά,5672
stops,stop_desc,el,ΣπΚυ-ΚωΠα,5672
stops,stop_name,el,Σταδίου - 1η Στάση,5674
stops,stop_desc,el,Στ-1ηΣτ,5674
stops,stop_name,el,Κάβο Γκρέκο - 3η Στάση,5676
stops,stop_desc,el,ΟΚΓκ-ΑσΑΝ,5676
stops,stop_name,el,Κάβο Γκρέκο - 2η Στάση,5677
stops,stop_desc,el,ΟΚΓκ-2Σ,5677
stops,stop_name,el,Σταδίου - 3η Στάση,5678
stops,stop_desc,el,Στ-3ηΣτ,5678
stops,stop_name,el,Δρόμος Παραλίμνι - Αγία Νάπα - 1η Στάση,5679
stops,stop_desc,el,ΔρΠα-ΑΝ-1Σ,5679
stops,stop_name,el,Λεωφ. Γρίβα Διγενή - Θεσσαλονίκης,5680
stops,stop_desc,el,ΛεΓρΔι-Θε,5680
stops,stop_name,el,Λεωφ. Γρίβα Διγενή - Κωνσταντινουπόλεως 1,5682
stops,stop_desc,el,ΛεΓρΔι-Κω,5682
stops,stop_name,el,Σταθμός Πλατείας Παραλιμνίου,5683
stops,stop_desc,el,ΣταΠλατΑμμ,5683
stops,stop_name,el,Εκκλησία Αγίας Βαρβάρας 2,5684
stops,stop_desc,el,ΕκκΑγιΒαρ,5684
stops,stop_name,el,Εκκλησία Αγίας Βαρβάρας 1,5685
stops,stop_desc,el,ΕκκΑγιΒαρ,5685
stops,stop_name,el,Λεωφ. Πρωταρά - 4η Στάση,5686
stops,stop_desc,el,ΛεΠρ-4ηΣτ,5686
stops,stop_name,el,Λεωφ. Πρωταρά - Ανταίου,5687
stops,stop_desc,el,ΛεΠρ-Αν,5687
stops,stop_name,el,Λεωφ. Πρωταρά - 6η Στάση,5688
stops,stop_desc,el,ΛεΠρ-6ηΣτ,5688
stops,stop_name,el,Λεωφ. Πρωταρά - 5η Στάση,5689
stops,stop_desc,el,ΛεΠρ-5ηΣτ,5689
stops,stop_name,el,Λεωφ. Πρωταρά - 6η Στάση,5690
stops,stop_desc,el,ΛεΠρ-6ηΣτ,5690
stops,stop_name,el,Παραλία Αγία Τριάδα 1,5691
stops,stop_desc,el,ΠαρΑγιΤρι,5691
stops,stop_name,el,Παραλία Αγία Τριάδα 2,5692
stops,stop_desc,el,ΠαρΑγιΤρι,5692
stops,stop_name,el,Βρυσουδιών - 1η Στάση,5693
stops,stop_desc,el,Βρ-1ηΣτ,5693
stops,stop_name,el,Βρυσουδιών - 2η Στάση,5694
stops,stop_desc,el,Βρ-2ηΣτ,5694
stops,stop_name,el,Παραλία Λούμα 1,5695
stops,stop_desc,el,ΠαραλΛουμα,5695
stops,stop_name,el,Παραλία Λούμα 2,5696
stops,stop_desc,el,ΠαραλΛουμα,5696
