route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
4050011,18423,13270717,NICOSIA/KOLOKASI,4050011,0
4050012,18423,13270718,KAKOPETRIA,4050012,1
4050011,18423,13270719,NICOSIA/KOLOKASI,4050011,0
4050012,18423,13270720,KAKOPETRIA,4050012,1
740012,18423,13270721,Anthoupoli,740012,1
740011,18423,13270722,Kokkinotrimithia,740011,0
740012,18423,13270723,Anthoupoli,740012,1
740011,18423,13270724,Kokkinotrimithia,740011,0
740012,18423,13270725,Anthoupoli,740012,1
740011,18423,13270726,Kokkinotrimithia,740011,0
740012,18423,13270727,Anthoupoli,740012,1
740011,18423,13270728,Kokkinotrimithia,740011,0
740012,18423,13270729,Anthoupoli,740012,1
740011,18423,13270730,Kokkinotrimithia,740011,0
740012,18423,13270731,Anthoupoli,740012,1
740011,18423,13270732,Kokkinotrimithia,740011,0
740012,18423,13270733,Anthoupoli,740012,1
740011,18423,13270734,Kokkinotrimithia,740011,0
650011,18423,13270735,Tamasos Bus St.,650011,0
650012,18423,13270736, Kampi,650012,1
650011,18423,13270737,Tamasos Bus St.,650011,0
650012,18423,13270738, Kampi,650012,1
650011,18423,13270739,Tamasos Bus St.,650011,0
650012,18423,13270740, Kampi,650012,1
520022,18423,13270741,Potamia,520022,1
520021,18423,13270742,Alampra Station,520021,0
770011,18423,13270743,Astromeritis,770011,0
770012,18423,13270744,Nikitari,770012,1
770011,18423,13270745,Astromeritis,770011,0
770012,18423,13270746,Nikitari,770012,1
770011,18423,13270747,Astromeritis,770011,0
770012,18423,13270748,Nikitari,770012,1
770011,18423,13270749,Astromeritis,770011,0
770012,18423,13270750,Nikitari,770012,1
770011,18423,13270751,Astromeritis,770011,0
770012,18423,13270752,Nikitari,770012,1
630032,18423,13270753,Fterikoudi,630032,1
630031,18423,13270754,Tamasos Station,630031,0
840012,18423,13270755,Galata,840012,1
840011,18423,13270756,Evrychou,840011,0
840012,18423,13270757,Galata,840012,1
840011,18423,13270758,Evrychou,840011,0
840012,18423,13270759,Galata,840012,1
840011,18423,13270760,Evrychou,840011,0
840012,18423,13270761,Galata,840012,1
840011,18423,13270762,Evrychou,840011,0
840012,18423,13270763,Galata,840012,1
840011,18423,13270764,Evrychou,840011,0
840012,18423,13270765,Galata,840012,1
840011,18423,13270766,Evrychou,840011,0
840022,18423,13270767,Kaliana - Galata,840022,1
840011,18423,13270768,Evrychou,840011,0
710012,18423,13270769,Mammari,710012,1
710011,18423,13270770,Kokkinotrimithia,710011,0
710012,18423,13270771,Mammari,710012,1
710011,18423,13270772,Kokkinotrimithia,710011,0
710012,18423,13270773,Mammari,710012,1
710011,18423,13270774,Kokkinotrimithia,710011,0
620011,18423,13270775,Tamasos Bus St.,620011,0
620012,18423,13270776,Palaichori,620012,1
620011,18423,13270777,Tamasos Bus St.,620011,0
620012,18423,13270778,Palaichori,620012,1
510012,18423,13270779,Sia,510012,1
510011,18423,13270780,Alampra Bus St.,510011,0
520021,18423,13270781,Alampra Station,520021,0
520022,18423,13270782,Potamia,520022,1
540012,18423,13270783,Lythrodontas,540012,1
540011,18423,13270784,Alampra Bus St.,540011,0
540012,18423,13270785,Lythrodontas,540012,1
540011,18423,13270786,Alampra Bus St.,540011,0
540012,18423,13270787,Lythrodontas,540012,1
540011,18423,13270788,Alampra Bus St.,540011,0
760011,18423,13270789,Peristerona,760011,0
760012,18423,13270790,Xyliatos,760012,1
760011,18423,13270791,Peristerona,760011,0
760012,18423,13270792,Xyliatos,760012,1
760011,18423,13270793,Peristerona,760011,0
760012,18423,13270794,Xyliatos,760012,1
760011,18423,13270795,Peristerona,760011,0
760012,18423,13270796,Xyliatos,760012,1
650012,18423,13270797, Kampi,650012,1
650011,18423,13270798,Tamasos Bus St.,650011,0
4050011,18423,13270799,NICOSIA/KOLOKASI,4050011,0
4050012,18423,13270800,KAKOPETRIA,4050012,1
4050041,18423,13270801,Makario Stadium B,4050041,0
730012,18423,13270802,Paliometocho Setl,730012,1
730011,18423,13270803,Kokkinotrimithia,730011,0
730012,18423,13270804,Paliometocho Setl,730012,1
730011,18423,13270805,Kokkinotrimithia,730011,0
730012,18423,13270806,Paliometocho Setl,730012,1
730011,18423,13270807,Kokkinotrimithia,730011,0
730012,18423,13270808,Paliometocho Setl,730012,1
730011,18423,13270809,Kokkinotrimithia,730011,0
730012,18423,13270810,Paliometocho Setl,730012,1
4070011,18423,13270811,Gen. Hospital,4070011,0
4070012,18423,13270812,Chandria,4070012,1
4070011,18423,13270813,Gen. Hospital,4070011,0
4070012,18423,13270814,Chandria,4070012,1
1680011,18423,13270815,Deftera,1680011,0
610011,18423,13270816,Tamasos Bus St.,610011,0
610012,18423,13270817,Alithinou,610012,1
5020011,18423,13270818,Solomou Sq.,5020011,0
5020012,18423,13270819,Tamasou Bus St.,5020012,1
5020011,18423,13270820,Solomou Sq.,5020011,0
5020012,18423,13270821,Tamasou Bus St.,5020012,1
5020011,18423,13270822,Solomou Sq.,5020011,0
5020012,18423,13270823,Tamasou Bus St.,5020012,1
630032,18423,13270824,Fterikoudi,630032,1
630031,18423,13270825,Tamasos Station,630031,0
5030011,18423,13270826,Solomou Sq.,5030011,0
5030012,18423,13270827,Alampra Bus St.,5030012,1
5030011,18423,13270828,Solomou Sq.,5030011,0
5030012,18423,13270829,Alampra Bus St.,5030012,1
5030011,18423,13270830,Solomou Sq.,5030011,0
5030012,18423,13270831,Alampra Bus St.,5030012,1
520022,18423,13270832,Potamia,520022,1
520021,18423,13270833,Alampra Station,520021,0
520022,18423,13270834,Potamia,520022,1
520021,18423,13270835,Alampra Station,520021,0
4000011,18423,13270836,SOLOMOU SQ.,4000011,0
4000012,18423,13270837,ASTROMERITIS,4000012,1
4000011,18423,13270838,SOLOMOU SQ.,4000011,0
4000012,18423,13270839,ASTROMERITIS,4000012,1
810021,18423,13270840,Atsas,810021,0
810021,18423,13270841,Atsas,810021,0
810022,18423,13270842,Prodromos,810022,1
250011,18423,13270843,Gen. Hospital Bus,250011,0
250012,18423,13270844,Strovolos Station,250012,1
250011,18423,13270845,Gen. Hospital Bus,250011,0
250012,18423,13270846,Strovolos Station,250012,1
410011,18423,13270847,Univ. of Cyprus,410011,0
410012,18423,13270848,Makario Stadium,410012,1
230031,18423,13270849,Tseri/Strovolos,230031,0
230031,18423,13270850,Tseri/Strovolos,230031,0
230031,18423,13270851,Tseri/Strovolos,230031,0
230031,18423,13270852,Tseri/Strovolos,230031,0
230031,18423,13270853,Tseri/Strovolos,230031,0
310031,18423,13270854,Solomou Square,310031,0
310031,18423,13270855,Solomou Square,310031,0
310031,18423,13270856,Solomou Square,310031,0
310031,18423,13270857,Solomou Square,310031,0
310031,18423,13270858,Solomou Square,310031,0
310031,18423,13270859,Solomou Square,310031,0
310031,18423,13270860,Solomou Square,310031,0
670012,18423,13270861,Kalo Chorio,670012,1
670011,18423,13270862,Tamasos Bus St.,670011,0
670012,18423,13270863,Kalo Chorio,670012,1
670011,18423,13270864,Tamasos Bus St.,670011,0
670012,18423,13270865,Kalo Chorio,670012,1
670011,18423,13270866,Tamasos Bus St.,670011,0
5020011,18423,13270867,Solomou Sq.,5020011,0
5020012,18423,13270868,Tamasou Bus St.,5020012,1
5020011,18423,13270869,Solomou Sq.,5020011,0
5020012,18423,13270870,Tamasou Bus St.,5020012,1
690022,18423,13270871,Anagia - Ergates,690022,1
690021,18423,13270872,Ergates - Anagia,690021,0
690022,18423,13270873,Anagia - Ergates,690022,1
690021,18423,13270874,Ergates - Anagia,690021,0
530012,18423,13270875,Pyrga,530012,1
